Dimension: 20

Sample seed: 9

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 20
Sf-sfd,0.608227535548318,0.927633182144603,1.7562571325738618,427.3865854015415,102.67035460472107
SF-SFD average,0.6647760756896288,0.8527038328729206,1.6110631496178351,477.2460194003654,
LHS,0.6735367243422488,0.9892737804831365,1.8934597387213905,464.72537084679476,
Sobol,0.8617777281271719,1.0250762166785454,2.1959189734392273,587.5966666144548,
Random best,0.6760225119796557,0.9499498810612127,1.7773758844468999,471.9833464963999,
Random average,0.810038750620236,0.9301828986894379,1.7240209653440721,568.794107297818,

Sample size: 200


The dimension of the input space is: 20
Sf-sfd,0.3472606347016569,0.9013009375616161,2.8329198719755806,347.2150646091741,238.69574689865112
SF-SFD average,0.3629632053529168,0.820123584930124,2.845095881046655,371.1608289895345,
LHS,0.3365180797853027,0.7056279898061888,2.8931426003616263,354.8355277390921,
Sobol,0.3330679327919226,0.9527086693180398,3.642890053011315,327.2803689275619,
Random best,0.36032871947457057,0.8781300940852315,2.973418715509003,362.4373206438389,
Random average,0.4059132584055552,0.8408795737919031,2.9595285272716922,412.5599440727295,

Sample size: 300


The dimension of the input space is: 20
Sf-sfd,0.22999328659140605,0.8561100573581939,3.82745744000156,284.91290741386433,419.6082136631012
SF-SFD average,0.25056378075190905,0.7843902124951783,3.7404905766582255,316.63342304923736,
LHS,0.23128357502086505,0.6864411182203327,3.6627540762831403,300.0990170489966,
Sobol,0.19787171571604656,0.8931826624799025,4.465677495884411,242.15606597830666,
Random best,0.24214330765803904,0.8082790657121177,3.8696329025713596,303.89456700002705,
Random average,0.27108594351962034,0.7999756691846058,3.8818173791596644,340.9425539813459,

Sample size: 400


The dimension of the input space is: 20
Sf-sfd,0.1792701784155195,0.7950792003620393,4.624560917627252,260.62619949679925,491.54332733154297
SF-SFD average,0.19380672896662676,0.7635956350790835,4.52271567644705,284.2556261833267,
LHS,0.17255174948734187,0.7817674716892472,4.572710074473002,251.80000701040748,
Sobol,0.13856653970714383,0.8812555407627234,5.423492625874332,196.3317503204263,
Random best,0.18140710931156256,0.8258712994824439,4.433991981212984,261.650431441609,
Random average,0.20394745067871775,0.7810939485508567,4.660826055515091,297.58521317901483,

Sample size: 500


The dimension of the input space is: 20
Sf-sfd,0.14959222877843192,0.8308123633309205,5.341156683795516,240.6939762813628,674.8657491207123
SF-SFD average,0.15573421671070958,0.7416583222553192,5.239215298310382,256.77399495038674,
LHS,0.13262833221211068,0.6963355239912783,5.368982249470648,221.26611207388586,
Sobol,0.10522325515463482,0.7967696774760649,6.238567754829733,170.5400379704037,
Random best,0.14521309053533749,0.7860981643758767,5.540813607084792,236.41018814626818,
Random average,0.16308934396676592,0.7628089853755449,5.336145650865754,267.30843464239615,
