Dimension: 15

Sample seed: 6

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 15
Sf-sfd,0.1958948073679707,0.6709015641689982,1.8021299931493486,92.96025484802591,81.57334661483765
SF-SFD average,0.2220296332992867,0.6526567469094472,1.84159440277301,105.95956624616336,
LHS,0.18094809033916448,0.7548237998762086,1.869732157014333,83.57880263735647,
Sobol,0.16445867365120526,0.8442923604082593,2.31546507968257,73.56085493683923,
Random best,0.21330733535358792,0.7137427276767316,1.9535012986380689,99.76693628835356,
Random average,0.253586031402471,0.6643944491405172,1.941056161135366,120.48228933832296,

Sample size: 200


The dimension of the input space is: 15
Sf-sfd,0.10194630701509988,0.5967359857425035,3.088225013024549,69.82090810521774,157.1295084953308
SF-SFD average,0.1180659963225409,0.6008961387002485,3.0823477736372586,80.7505432377203,
LHS,0.08998608868945634,0.6664125723863358,3.011371852127154,60.341090041577324,
Sobol,0.06594801569633324,0.7276013238879088,3.814931797358358,43.211571343359985,
Random best,0.1075987869868742,0.6880835473692735,3.1616564114247554,71.61234197888778,
Random average,0.12614163527284528,0.5978846043778101,3.152436863158589,86.33440560806122,

Sample size: 300


The dimension of the input space is: 15
Sf-sfd,0.071794665520303,0.6273831956485565,4.101297195122515,59.58386351983699,319.2921028137207
SF-SFD average,0.08022650673444816,0.5687242253938669,4.012867696605806,67.80698331843818,
LHS,0.05884444556784274,0.5033069268125676,4.093297538179909,50.70475976163559,
Sobol,0.03954833890970866,0.5866889712399658,4.709186516459299,33.154501642785526,
Random best,0.07024899694232323,0.6279140461233135,4.058066499842182,58.30140077244033,
Random average,0.08336782057534223,0.5625277759303734,4.071674839138634,70.59270378982681,

Sample size: 400


The dimension of the input space is: 15
Sf-sfd,0.04953747510198436,0.5552474460665764,4.80164006208216,48.51651747071567,348.6227135658264
SF-SFD average,0.061344418437264334,0.5453392803157568,4.8560940817729605,60.26193793328635,
LHS,0.04262346659943228,0.6037867317660423,5.091835720835139,41.09382854534086,
Sobol,0.027627598824668365,0.5866889712399658,5.631197968044668,26.72645667768653,
Random best,0.05283177333671141,0.5670604163296122,4.902264216809891,51.54111272951175,
Random average,0.06271240282543969,0.540455072832278,4.853781381938853,61.690425077621896,

Sample size: 500


The dimension of the input space is: 15
Sf-sfd,0.0431949932126674,0.5661505152208588,5.585200449572605,47.111747852566815,440.70684790611267
SF-SFD average,0.04885470429361458,0.5334612030830467,5.4998399097685,53.83135530332365,
LHS,0.03558145017529846,0.5651301416388745,5.5974176204122825,38.81837503844945,
Sobol,0.020737810381625366,0.5866889712399658,6.280348323958174,22.430380053544443,
Random best,0.04244704583931602,0.5196940751410916,5.655235916115497,46.936405510148724,
Random average,0.050003202070748216,0.5321710679840743,5.536139550440566,55.11698938182488,
